lowercase_basename,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
frame_000178s.jpg,2,diyas/batch_001/frame_000178s.jpg,frame_000178s.jpg,diyas,batch_001
frame_000178s.jpg,2,obama/batch_001/frame_000178s.jpg,frame_000178s.jpg,obama,batch_001
frame_000179s.jpg,2,diyas/batch_001/frame_000179s.jpg,frame_000179s.jpg,diyas,batch_001
frame_000179s.jpg,2,obama/batch_001/frame_000179s.jpg,frame_000179s.jpg,obama,batch_001
frame_000180s.jpg,2,diyas/batch_001/frame_000180s.jpg,frame_000180s.jpg,diyas,batch_001
frame_000180s.jpg,2,obama/batch_001/frame_000180s.jpg,frame_000180s.jpg,obama,batch_001
frame_000251s.jpg,2,diyas/batch_001/frame_000251s.jpg,frame_000251s.jpg,diyas,batch_001
frame_000251s.jpg,2,obama/batch_001/frame_000251s.jpg,frame_000251s.jpg,obama,batch_001
frame_000252s.jpg,2,diyas/batch_001/frame_000252s.jpg,frame_000252s.jpg,diyas,batch_001
frame_000252s.jpg,2,obama/batch_001/frame_000252s.jpg,frame_000252s.jpg,obama,batch_001
frame_000253s.jpg,2,diyas/batch_001/frame_000253s.jpg,frame_000253s.jpg,diyas,batch_001
frame_000253s.jpg,2,obama/batch_001/frame_000253s.jpg,frame_000253s.jpg,obama,batch_001
frame_000257s.jpg,2,diyas/batch_001/frame_000257s.jpg,frame_000257s.jpg,diyas,batch_001
frame_000257s.jpg,2,obama/batch_001/frame_000257s.jpg,frame_000257s.jpg,obama,batch_001
frame_000319s.jpg,2,diyas/batch_001/frame_000319s.jpg,frame_000319s.jpg,diyas,batch_001
frame_000319s.jpg,2,obama/batch_001/frame_000319s.jpg,frame_000319s.jpg,obama,batch_001
frame_000320s.jpg,2,diyas/batch_001/frame_000320s.jpg,frame_000320s.jpg,diyas,batch_001
frame_000320s.jpg,2,obama/batch_001/frame_000320s.jpg,frame_000320s.jpg,obama,batch_001
frame_000321s.jpg,2,diyas/batch_001/frame_000321s.jpg,frame_000321s.jpg,diyas,batch_001
frame_000321s.jpg,2,obama/batch_001/frame_000321s.jpg,frame_000321s.jpg,obama,batch_001
frame_000323s.jpg,2,diyas/batch_001/frame_000323s.jpg,frame_000323s.jpg,diyas,batch_001
frame_000323s.jpg,2,obama/batch_001/frame_000323s.jpg,frame_000323s.jpg,obama,batch_001
frame_000324s.jpg,2,diyas/batch_001/frame_000324s.jpg,frame_000324s.jpg,diyas,batch_001
frame_000324s.jpg,2,obama/batch_001/frame_000324s.jpg,frame_000324s.jpg,obama,batch_001
frame_000325s.jpg,2,diyas/batch_001/frame_000325s.jpg,frame_000325s.jpg,diyas,batch_001
frame_000325s.jpg,2,obama/batch_001/frame_000325s.jpg,frame_000325s.jpg,obama,batch_001
frame_000326s.jpg,2,diyas/batch_001/frame_000326s.jpg,frame_000326s.jpg,diyas,batch_001
frame_000326s.jpg,2,obama/batch_001/frame_000326s.jpg,frame_000326s.jpg,obama,batch_001
frame_000327s.jpg,2,diyas/batch_001/frame_000327s.jpg,frame_000327s.jpg,diyas,batch_001
frame_000327s.jpg,2,obama/batch_001/frame_000327s.jpg,frame_000327s.jpg,obama,batch_001
frame_000328s.jpg,2,diyas/batch_001/frame_000328s.jpg,frame_000328s.jpg,diyas,batch_001
frame_000328s.jpg,2,obama/batch_001/frame_000328s.jpg,frame_000328s.jpg,obama,batch_001
frame_000329s.jpg,2,diyas/batch_001/frame_000329s.jpg,frame_000329s.jpg,diyas,batch_001
frame_000329s.jpg,2,obama/batch_001/frame_000329s.jpg,frame_000329s.jpg,obama,batch_001
frame_000330s.jpg,2,diyas/batch_001/frame_000330s.jpg,frame_000330s.jpg,diyas,batch_001
frame_000330s.jpg,2,obama/batch_001/frame_000330s.jpg,frame_000330s.jpg,obama,batch_001
frame_000331s.jpg,2,diyas/batch_001/frame_000331s.jpg,frame_000331s.jpg,diyas,batch_001
frame_000331s.jpg,2,obama/batch_001/frame_000331s.jpg,frame_000331s.jpg,obama,batch_001
frame_000332s.jpg,2,diyas/batch_001/frame_000332s.jpg,frame_000332s.jpg,diyas,batch_001
frame_000332s.jpg,2,obama/batch_001/frame_000332s.jpg,frame_000332s.jpg,obama,batch_001
frame_000333s.jpg,2,diyas/batch_001/frame_000333s.jpg,frame_000333s.jpg,diyas,batch_001
frame_000333s.jpg,2,obama/batch_001/frame_000333s.jpg,frame_000333s.jpg,obama,batch_001
frame_000334s.jpg,2,diyas/batch_001/frame_000334s.jpg,frame_000334s.jpg,diyas,batch_001
frame_000334s.jpg,2,obama/batch_001/frame_000334s.jpg,frame_000334s.jpg,obama,batch_001
frame_000335s.jpg,2,diyas/batch_001/frame_000335s.jpg,frame_000335s.jpg,diyas,batch_001
frame_000335s.jpg,2,obama/batch_001/frame_000335s.jpg,frame_000335s.jpg,obama,batch_001
frame_000336s.jpg,2,diyas/batch_001/frame_000336s.jpg,frame_000336s.jpg,diyas,batch_001
frame_000336s.jpg,2,obama/batch_001/frame_000336s.jpg,frame_000336s.jpg,obama,batch_001
frame_000337s.jpg,2,diyas/batch_001/frame_000337s.jpg,frame_000337s.jpg,diyas,batch_001
frame_000337s.jpg,2,obama/batch_001/frame_000337s.jpg,frame_000337s.jpg,obama,batch_001
frame_000338s.jpg,2,diyas/batch_001/frame_000338s.jpg,frame_000338s.jpg,diyas,batch_001
frame_000338s.jpg,2,obama/batch_001/frame_000338s.jpg,frame_000338s.jpg,obama,batch_001
frame_000339s.jpg,2,diyas/batch_001/frame_000339s.jpg,frame_000339s.jpg,diyas,batch_001
frame_000339s.jpg,2,obama/batch_001/frame_000339s.jpg,frame_000339s.jpg,obama,batch_001
frame_000340s.jpg,2,diyas/batch_001/frame_000340s.jpg,frame_000340s.jpg,diyas,batch_001
frame_000340s.jpg,2,obama/batch_001/frame_000340s.jpg,frame_000340s.jpg,obama,batch_001
frame_000341s.jpg,2,diyas/batch_001/frame_000341s.jpg,frame_000341s.jpg,diyas,batch_001
frame_000341s.jpg,2,obama/batch_001/frame_000341s.jpg,frame_000341s.jpg,obama,batch_001
frame_000342s.jpg,2,diyas/batch_001/frame_000342s.jpg,frame_000342s.jpg,diyas,batch_001
frame_000342s.jpg,2,obama/batch_001/frame_000342s.jpg,frame_000342s.jpg,obama,batch_001
frame_000343s.jpg,2,diyas/batch_001/frame_000343s.jpg,frame_000343s.jpg,diyas,batch_001
frame_000343s.jpg,2,obama/batch_001/frame_000343s.jpg,frame_000343s.jpg,obama,batch_001
frame_000344s.jpg,2,diyas/batch_001/frame_000344s.jpg,frame_000344s.jpg,diyas,batch_001
frame_000344s.jpg,2,obama/batch_001/frame_000344s.jpg,frame_000344s.jpg,obama,batch_001
frame_000345s.jpg,2,diyas/batch_001/frame_000345s.jpg,frame_000345s.jpg,diyas,batch_001
frame_000345s.jpg,2,obama/batch_001/frame_000345s.jpg,frame_000345s.jpg,obama,batch_001
frame_000346s.jpg,2,diyas/batch_001/frame_000346s.jpg,frame_000346s.jpg,diyas,batch_001
frame_000346s.jpg,2,obama/batch_001/frame_000346s.jpg,frame_000346s.jpg,obama,batch_001
frame_000347s.jpg,2,diyas/batch_001/frame_000347s.jpg,frame_000347s.jpg,diyas,batch_001
frame_000347s.jpg,2,obama/batch_001/frame_000347s.jpg,frame_000347s.jpg,obama,batch_001
frame_000348s.jpg,2,diyas/batch_001/frame_000348s.jpg,frame_000348s.jpg,diyas,batch_001
frame_000348s.jpg,2,obama/batch_001/frame_000348s.jpg,frame_000348s.jpg,obama,batch_001
frame_000349s.jpg,2,diyas/batch_001/frame_000349s.jpg,frame_000349s.jpg,diyas,batch_001
frame_000349s.jpg,2,obama/batch_001/frame_000349s.jpg,frame_000349s.jpg,obama,batch_001
frame_000350s.jpg,2,diyas/batch_001/frame_000350s.jpg,frame_000350s.jpg,diyas,batch_001
frame_000350s.jpg,2,obama/batch_001/frame_000350s.jpg,frame_000350s.jpg,obama,batch_001
frame_000351s.jpg,2,diyas/batch_001/frame_000351s.jpg,frame_000351s.jpg,diyas,batch_001
frame_000351s.jpg,2,obama/batch_001/frame_000351s.jpg,frame_000351s.jpg,obama,batch_001
frame_000352s.jpg,2,diyas/batch_001/frame_000352s.jpg,frame_000352s.jpg,diyas,batch_001
frame_000352s.jpg,2,obama/batch_001/frame_000352s.jpg,frame_000352s.jpg,obama,batch_001
frame_000353s.jpg,2,diyas/batch_001/frame_000353s.jpg,frame_000353s.jpg,diyas,batch_001
frame_000353s.jpg,2,obama/batch_001/frame_000353s.jpg,frame_000353s.jpg,obama,batch_001
frame_000354s.jpg,2,diyas/batch_001/frame_000354s.jpg,frame_000354s.jpg,diyas,batch_001
frame_000354s.jpg,2,obama/batch_001/frame_000354s.jpg,frame_000354s.jpg,obama,batch_001
frame_000355s.jpg,2,diyas/batch_001/frame_000355s.jpg,frame_000355s.jpg,diyas,batch_001
frame_000355s.jpg,2,obama/batch_001/frame_000355s.jpg,frame_000355s.jpg,obama,batch_001
frame_000356s.jpg,2,diyas/batch_001/frame_000356s.jpg,frame_000356s.jpg,diyas,batch_001
frame_000356s.jpg,2,obama/batch_001/frame_000356s.jpg,frame_000356s.jpg,obama,batch_001
frame_000357s.jpg,2,diyas/batch_001/frame_000357s.jpg,frame_000357s.jpg,diyas,batch_001
frame_000357s.jpg,2,obama/batch_001/frame_000357s.jpg,frame_000357s.jpg,obama,batch_001
frame_000358s.jpg,2,diyas/batch_001/frame_000358s.jpg,frame_000358s.jpg,diyas,batch_001
frame_000358s.jpg,2,obama/batch_001/frame_000358s.jpg,frame_000358s.jpg,obama,batch_001
frame_000359s.jpg,2,diyas/batch_001/frame_000359s.jpg,frame_000359s.jpg,diyas,batch_001
frame_000359s.jpg,2,obama/batch_001/frame_000359s.jpg,frame_000359s.jpg,obama,batch_001
frame_000382s.jpg,2,diyas/batch_001/frame_000382s.jpg,frame_000382s.jpg,diyas,batch_001
frame_000382s.jpg,2,obama/batch_001/frame_000382s.jpg,frame_000382s.jpg,obama,batch_001
frame_000383s.jpg,2,diyas/batch_001/frame_000383s.jpg,frame_000383s.jpg,diyas,batch_001
frame_000383s.jpg,2,obama/batch_001/frame_000383s.jpg,frame_000383s.jpg,obama,batch_001
frame_000384s.jpg,2,diyas/batch_001/frame_000384s.jpg,frame_000384s.jpg,diyas,batch_001
frame_000384s.jpg,2,obama/batch_001/frame_000384s.jpg,frame_000384s.jpg,obama,batch_001
frame_000385s.jpg,2,diyas/batch_001/frame_000385s.jpg,frame_000385s.jpg,diyas,batch_001
frame_000385s.jpg,2,obama/batch_001/frame_000385s.jpg,frame_000385s.jpg,obama,batch_001
frame_000387s.jpg,2,diyas/batch_001/frame_000387s.jpg,frame_000387s.jpg,diyas,batch_001
frame_000387s.jpg,2,obama/batch_001/frame_000387s.jpg,frame_000387s.jpg,obama,batch_001
frame_000388s.jpg,2,diyas/batch_001/frame_000388s.jpg,frame_000388s.jpg,diyas,batch_001
frame_000388s.jpg,2,obama/batch_001/frame_000388s.jpg,frame_000388s.jpg,obama,batch_001
frame_000389s.jpg,2,diyas/batch_001/frame_000389s.jpg,frame_000389s.jpg,diyas,batch_001
frame_000389s.jpg,2,obama/batch_001/frame_000389s.jpg,frame_000389s.jpg,obama,batch_001
frame_000390s.jpg,2,diyas/batch_001/frame_000390s.jpg,frame_000390s.jpg,diyas,batch_001
frame_000390s.jpg,2,obama/batch_001/frame_000390s.jpg,frame_000390s.jpg,obama,batch_001
frame_000391s.jpg,2,diyas/batch_001/frame_000391s.jpg,frame_000391s.jpg,diyas,batch_001
frame_000391s.jpg,2,obama/batch_001/frame_000391s.jpg,frame_000391s.jpg,obama,batch_001
frame_000392s.jpg,2,diyas/batch_001/frame_000392s.jpg,frame_000392s.jpg,diyas,batch_001
frame_000392s.jpg,2,obama/batch_001/frame_000392s.jpg,frame_000392s.jpg,obama,batch_001
frame_000407s.jpg,2,diyas/batch_001/frame_000407s.jpg,frame_000407s.jpg,diyas,batch_001
frame_000407s.jpg,2,obama/batch_001/frame_000407s.jpg,frame_000407s.jpg,obama,batch_001
frame_000408s.jpg,2,diyas/batch_001/frame_000408s.jpg,frame_000408s.jpg,diyas,batch_001
frame_000408s.jpg,2,obama/batch_001/frame_000408s.jpg,frame_000408s.jpg,obama,batch_001
frame_000409s.jpg,2,diyas/batch_001/frame_000409s.jpg,frame_000409s.jpg,diyas,batch_001
frame_000409s.jpg,2,obama/batch_001/frame_000409s.jpg,frame_000409s.jpg,obama,batch_001
frame_000410s.jpg,2,diyas/batch_001/frame_000410s.jpg,frame_000410s.jpg,diyas,batch_001
frame_000410s.jpg,2,obama/batch_001/frame_000410s.jpg,frame_000410s.jpg,obama,batch_001
frame_000411s.jpg,2,diyas/batch_001/frame_000411s.jpg,frame_000411s.jpg,diyas,batch_001
frame_000411s.jpg,2,obama/batch_001/frame_000411s.jpg,frame_000411s.jpg,obama,batch_001
frame_000412s.jpg,2,diyas/batch_001/frame_000412s.jpg,frame_000412s.jpg,diyas,batch_001
frame_000412s.jpg,2,obama/batch_001/frame_000412s.jpg,frame_000412s.jpg,obama,batch_001
frame_000413s.jpg,2,diyas/batch_001/frame_000413s.jpg,frame_000413s.jpg,diyas,batch_001
frame_000413s.jpg,2,obama/batch_001/frame_000413s.jpg,frame_000413s.jpg,obama,batch_001
frame_000414s.jpg,2,diyas/batch_001/frame_000414s.jpg,frame_000414s.jpg,diyas,batch_001
frame_000414s.jpg,2,obama/batch_001/frame_000414s.jpg,frame_000414s.jpg,obama,batch_001
frame_000415s.jpg,2,diyas/batch_001/frame_000415s.jpg,frame_000415s.jpg,diyas,batch_001
frame_000415s.jpg,2,obama/batch_001/frame_000415s.jpg,frame_000415s.jpg,obama,batch_001
frame_000416s.jpg,2,diyas/batch_001/frame_000416s.jpg,frame_000416s.jpg,diyas,batch_001
frame_000416s.jpg,2,obama/batch_001/frame_000416s.jpg,frame_000416s.jpg,obama,batch_001
frame_000417s.jpg,2,diyas/batch_001/frame_000417s.jpg,frame_000417s.jpg,diyas,batch_001
frame_000417s.jpg,2,obama/batch_001/frame_000417s.jpg,frame_000417s.jpg,obama,batch_001
frame_000418s.jpg,2,diyas/batch_001/frame_000418s.jpg,frame_000418s.jpg,diyas,batch_001
frame_000418s.jpg,2,obama/batch_001/frame_000418s.jpg,frame_000418s.jpg,obama,batch_001
frame_000419s.jpg,2,diyas/batch_001/frame_000419s.jpg,frame_000419s.jpg,diyas,batch_001
frame_000419s.jpg,2,obama/batch_001/frame_000419s.jpg,frame_000419s.jpg,obama,batch_001
frame_000420s.jpg,2,diyas/batch_001/frame_000420s.jpg,frame_000420s.jpg,diyas,batch_001
frame_000420s.jpg,2,obama/batch_001/frame_000420s.jpg,frame_000420s.jpg,obama,batch_001
frame_000421s.jpg,2,diyas/batch_001/frame_000421s.jpg,frame_000421s.jpg,diyas,batch_001
frame_000421s.jpg,2,obama/batch_001/frame_000421s.jpg,frame_000421s.jpg,obama,batch_001
frame_000422s.jpg,2,diyas/batch_001/frame_000422s.jpg,frame_000422s.jpg,diyas,batch_001
frame_000422s.jpg,2,obama/batch_001/frame_000422s.jpg,frame_000422s.jpg,obama,batch_001
