normalized_numeric_suffix,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
1000,2,diyas/batch_001/frame_001000s.jpg,frame_001000s.jpg,diyas,batch_001
1000,2,obama/batch_001/frame_001000s.jpg,frame_001000s.jpg,obama,batch_001
1001,2,diyas/batch_002/frame_001001s.jpg,frame_001001s.jpg,diyas,batch_002
1001,2,obama/batch_001/frame_001001s.jpg,frame_001001s.jpg,obama,batch_001
1002,2,diyas/batch_002/frame_001002s.jpg,frame_001002s.jpg,diyas,batch_002
1002,2,obama/batch_001/frame_001002s.jpg,frame_001002s.jpg,obama,batch_001
1003,2,diyas/batch_002/frame_001003s.jpg,frame_001003s.jpg,diyas,batch_002
1003,2,obama/batch_001/frame_001003s.jpg,frame_001003s.jpg,obama,batch_001
1004,2,diyas/batch_002/frame_001004s.jpg,frame_001004s.jpg,diyas,batch_002
1004,2,obama/batch_001/frame_001004s.jpg,frame_001004s.jpg,obama,batch_001
1005,2,diyas/batch_002/frame_001005s.jpg,frame_001005s.jpg,diyas,batch_002
1005,2,obama/batch_001/frame_001005s.jpg,frame_001005s.jpg,obama,batch_001
1006,2,diyas/batch_002/frame_001006s.jpg,frame_001006s.jpg,diyas,batch_002
1006,2,obama/batch_001/frame_001006s.jpg,frame_001006s.jpg,obama,batch_001
1007,2,diyas/batch_002/frame_001007s.jpg,frame_001007s.jpg,diyas,batch_002
1007,2,obama/batch_001/frame_001007s.jpg,frame_001007s.jpg,obama,batch_001
1008,2,diyas/batch_002/frame_001008s.jpg,frame_001008s.jpg,diyas,batch_002
1008,2,obama/batch_001/frame_001008s.jpg,frame_001008s.jpg,obama,batch_001
1009,2,diyas/batch_002/frame_001009s.jpg,frame_001009s.jpg,diyas,batch_002
1009,2,obama/batch_001/frame_001009s.jpg,frame_001009s.jpg,obama,batch_001
1010,2,diyas/batch_002/frame_001010s.jpg,frame_001010s.jpg,diyas,batch_002
1010,2,obama/batch_001/frame_001010s.jpg,frame_001010s.jpg,obama,batch_001
1011,2,diyas/batch_002/frame_001011s.jpg,frame_001011s.jpg,diyas,batch_002
1011,2,obama/batch_001/frame_001011s.jpg,frame_001011s.jpg,obama,batch_001
1012,2,diyas/batch_002/frame_001012s.jpg,frame_001012s.jpg,diyas,batch_002
1012,2,obama/batch_001/frame_001012s.jpg,frame_001012s.jpg,obama,batch_001
1013,2,diyas/batch_002/frame_001013s.jpg,frame_001013s.jpg,diyas,batch_002
1013,2,obama/batch_001/frame_001013s.jpg,frame_001013s.jpg,obama,batch_001
1014,2,diyas/batch_002/frame_001014s.jpg,frame_001014s.jpg,diyas,batch_002
1014,2,obama/batch_001/frame_001014s.jpg,frame_001014s.jpg,obama,batch_001
1015,2,diyas/batch_002/frame_001015s.jpg,frame_001015s.jpg,diyas,batch_002
1015,2,obama/batch_001/frame_001015s.jpg,frame_001015s.jpg,obama,batch_001
1016,2,diyas/batch_002/frame_001016s.jpg,frame_001016s.jpg,diyas,batch_002
1016,2,obama/batch_001/frame_001016s.jpg,frame_001016s.jpg,obama,batch_001
1017,2,diyas/batch_002/frame_001017s.jpg,frame_001017s.jpg,diyas,batch_002
1017,2,obama/batch_001/frame_001017s.jpg,frame_001017s.jpg,obama,batch_001
1018,2,diyas/batch_002/frame_001018s.jpg,frame_001018s.jpg,diyas,batch_002
1018,2,obama/batch_001/frame_001018s.jpg,frame_001018s.jpg,obama,batch_001
1019,2,diyas/batch_002/frame_001019s.jpg,frame_001019s.jpg,diyas,batch_002
1019,2,obama/batch_001/frame_001019s.jpg,frame_001019s.jpg,obama,batch_001
1020,2,diyas/batch_002/frame_001020s.jpg,frame_001020s.jpg,diyas,batch_002
1020,2,obama/batch_001/frame_001020s.jpg,frame_001020s.jpg,obama,batch_001
1021,2,diyas/batch_002/frame_001021s.jpg,frame_001021s.jpg,diyas,batch_002
1021,2,obama/batch_001/frame_001021s.jpg,frame_001021s.jpg,obama,batch_001
1022,2,diyas/batch_002/frame_001022s.jpg,frame_001022s.jpg,diyas,batch_002
1022,2,obama/batch_001/frame_001022s.jpg,frame_001022s.jpg,obama,batch_001
1023,2,diyas/batch_002/frame_001023s.jpg,frame_001023s.jpg,diyas,batch_002
1023,2,obama/batch_001/frame_001023s.jpg,frame_001023s.jpg,obama,batch_001
1024,2,diyas/batch_002/frame_001024s.jpg,frame_001024s.jpg,diyas,batch_002
1024,2,obama/batch_001/frame_001024s.jpg,frame_001024s.jpg,obama,batch_001
1025,2,diyas/batch_002/frame_001025s.jpg,frame_001025s.jpg,diyas,batch_002
1025,2,obama/batch_001/frame_001025s.jpg,frame_001025s.jpg,obama,batch_001
1026,2,diyas/batch_002/frame_001026s.jpg,frame_001026s.jpg,diyas,batch_002
1026,2,obama/batch_001/frame_001026s.jpg,frame_001026s.jpg,obama,batch_001
1027,2,diyas/batch_002/frame_001027s.jpg,frame_001027s.jpg,diyas,batch_002
1027,2,obama/batch_001/frame_001027s.jpg,frame_001027s.jpg,obama,batch_001
1028,2,diyas/batch_002/frame_001028s.jpg,frame_001028s.jpg,diyas,batch_002
1028,2,obama/batch_001/frame_001028s.jpg,frame_001028s.jpg,obama,batch_001
1029,2,diyas/batch_002/frame_001029s.jpg,frame_001029s.jpg,diyas,batch_002
1029,2,obama/batch_001/frame_001029s.jpg,frame_001029s.jpg,obama,batch_001
1030,2,diyas/batch_002/frame_001030s.jpg,frame_001030s.jpg,diyas,batch_002
1030,2,obama/batch_001/frame_001030s.jpg,frame_001030s.jpg,obama,batch_001
1031,2,diyas/batch_002/frame_001031s.jpg,frame_001031s.jpg,diyas,batch_002
1031,2,obama/batch_001/frame_001031s.jpg,frame_001031s.jpg,obama,batch_001
1032,2,diyas/batch_002/frame_001032s.jpg,frame_001032s.jpg,diyas,batch_002
1032,2,obama/batch_001/frame_001032s.jpg,frame_001032s.jpg,obama,batch_001
1033,2,diyas/batch_002/frame_001033s.jpg,frame_001033s.jpg,diyas,batch_002
1033,2,obama/batch_001/frame_001033s.jpg,frame_001033s.jpg,obama,batch_001
1034,2,diyas/batch_002/frame_001034s.jpg,frame_001034s.jpg,diyas,batch_002
1034,2,obama/batch_001/frame_001034s.jpg,frame_001034s.jpg,obama,batch_001
1035,2,diyas/batch_002/frame_001035s.jpg,frame_001035s.jpg,diyas,batch_002
1035,2,obama/batch_001/frame_001035s.jpg,frame_001035s.jpg,obama,batch_001
1036,2,diyas/batch_002/frame_001036s.jpg,frame_001036s.jpg,diyas,batch_002
1036,2,obama/batch_001/frame_001036s.jpg,frame_001036s.jpg,obama,batch_001
1037,2,diyas/batch_002/frame_001037s.jpg,frame_001037s.jpg,diyas,batch_002
1037,2,obama/batch_001/frame_001037s.jpg,frame_001037s.jpg,obama,batch_001
1038,2,diyas/batch_002/frame_001038s.jpg,frame_001038s.jpg,diyas,batch_002
1038,2,obama/batch_001/frame_001038s.jpg,frame_001038s.jpg,obama,batch_001
1039,2,diyas/batch_002/frame_001039s.jpg,frame_001039s.jpg,diyas,batch_002
1039,2,obama/batch_001/frame_001039s.jpg,frame_001039s.jpg,obama,batch_001
1040,2,diyas/batch_002/frame_001040s.jpg,frame_001040s.jpg,diyas,batch_002
1040,2,obama/batch_001/frame_001040s.jpg,frame_001040s.jpg,obama,batch_001
1041,2,diyas/batch_002/frame_001041s.jpg,frame_001041s.jpg,diyas,batch_002
1041,2,obama/batch_001/frame_001041s.jpg,frame_001041s.jpg,obama,batch_001
1042,2,diyas/batch_002/frame_001042s.jpg,frame_001042s.jpg,diyas,batch_002
1042,2,obama/batch_001/frame_001042s.jpg,frame_001042s.jpg,obama,batch_001
1043,2,diyas/batch_002/frame_001043s.jpg,frame_001043s.jpg,diyas,batch_002
1043,2,obama/batch_001/frame_001043s.jpg,frame_001043s.jpg,obama,batch_001
1044,2,diyas/batch_002/frame_001044s.jpg,frame_001044s.jpg,diyas,batch_002
1044,2,obama/batch_001/frame_001044s.jpg,frame_001044s.jpg,obama,batch_001
1045,2,diyas/batch_002/frame_001045s.jpg,frame_001045s.jpg,diyas,batch_002
1045,2,obama/batch_001/frame_001045s.jpg,frame_001045s.jpg,obama,batch_001
1046,2,diyas/batch_002/frame_001046s.jpg,frame_001046s.jpg,diyas,batch_002
1046,2,obama/batch_001/frame_001046s.jpg,frame_001046s.jpg,obama,batch_001
1047,2,diyas/batch_002/frame_001047s.jpg,frame_001047s.jpg,diyas,batch_002
1047,2,obama/batch_001/frame_001047s.jpg,frame_001047s.jpg,obama,batch_001
1048,2,diyas/batch_002/frame_001048s.jpg,frame_001048s.jpg,diyas,batch_002
1048,2,obama/batch_001/frame_001048s.jpg,frame_001048s.jpg,obama,batch_001
1049,2,diyas/batch_002/frame_001049s.jpg,frame_001049s.jpg,diyas,batch_002
1049,2,obama/batch_001/frame_001049s.jpg,frame_001049s.jpg,obama,batch_001
1050,2,diyas/batch_002/frame_001050s.jpg,frame_001050s.jpg,diyas,batch_002
1050,2,obama/batch_001/frame_001050s.jpg,frame_001050s.jpg,obama,batch_001
1051,2,diyas/batch_002/frame_001051s.jpg,frame_001051s.jpg,diyas,batch_002
1051,2,obama/batch_001/frame_001051s.jpg,frame_001051s.jpg,obama,batch_001
1052,2,diyas/batch_002/frame_001052s.jpg,frame_001052s.jpg,diyas,batch_002
1052,2,obama/batch_001/frame_001052s.jpg,frame_001052s.jpg,obama,batch_001
1053,2,diyas/batch_002/frame_001053s.jpg,frame_001053s.jpg,diyas,batch_002
1053,2,obama/batch_001/frame_001053s.jpg,frame_001053s.jpg,obama,batch_001
1054,2,diyas/batch_002/frame_001054s.jpg,frame_001054s.jpg,diyas,batch_002
1054,2,obama/batch_001/frame_001054s.jpg,frame_001054s.jpg,obama,batch_001
1055,2,diyas/batch_002/frame_001055s.jpg,frame_001055s.jpg,diyas,batch_002
1055,2,obama/batch_001/frame_001055s.jpg,frame_001055s.jpg,obama,batch_001
1056,2,diyas/batch_002/frame_001056s.jpg,frame_001056s.jpg,diyas,batch_002
1056,2,obama/batch_001/frame_001056s.jpg,frame_001056s.jpg,obama,batch_001
1057,2,diyas/batch_002/frame_001057s.jpg,frame_001057s.jpg,diyas,batch_002
1057,2,obama/batch_001/frame_001057s.jpg,frame_001057s.jpg,obama,batch_001
1058,2,diyas/batch_002/frame_001058s.jpg,frame_001058s.jpg,diyas,batch_002
1058,2,obama/batch_001/frame_001058s.jpg,frame_001058s.jpg,obama,batch_001
1059,2,diyas/batch_002/frame_001059s.jpg,frame_001059s.jpg,diyas,batch_002
1059,2,obama/batch_001/frame_001059s.jpg,frame_001059s.jpg,obama,batch_001
1060,2,diyas/batch_002/frame_001060s.jpg,frame_001060s.jpg,diyas,batch_002
1060,2,obama/batch_001/frame_001060s.jpg,frame_001060s.jpg,obama,batch_001
1061,2,diyas/batch_002/frame_001061s.jpg,frame_001061s.jpg,diyas,batch_002
1061,2,obama/batch_001/frame_001061s.jpg,frame_001061s.jpg,obama,batch_001
1062,2,diyas/batch_002/frame_001062s.jpg,frame_001062s.jpg,diyas,batch_002
1062,2,obama/batch_001/frame_001062s.jpg,frame_001062s.jpg,obama,batch_001
1063,2,diyas/batch_002/frame_001063s.jpg,frame_001063s.jpg,diyas,batch_002
1063,2,obama/batch_001/frame_001063s.jpg,frame_001063s.jpg,obama,batch_001
1064,2,diyas/batch_002/frame_001064s.jpg,frame_001064s.jpg,diyas,batch_002
1064,2,obama/batch_001/frame_001064s.jpg,frame_001064s.jpg,obama,batch_001
1065,2,diyas/batch_002/frame_001065s.jpg,frame_001065s.jpg,diyas,batch_002
1065,2,obama/batch_001/frame_001065s.jpg,frame_001065s.jpg,obama,batch_001
1066,2,diyas/batch_002/frame_001066s.jpg,frame_001066s.jpg,diyas,batch_002
1066,2,obama/batch_001/frame_001066s.jpg,frame_001066s.jpg,obama,batch_001
1067,2,diyas/batch_002/frame_001067s.jpg,frame_001067s.jpg,diyas,batch_002
1067,2,obama/batch_001/frame_001067s.jpg,frame_001067s.jpg,obama,batch_001
1068,2,diyas/batch_002/frame_001068s.jpg,frame_001068s.jpg,diyas,batch_002
1068,2,obama/batch_001/frame_001068s.jpg,frame_001068s.jpg,obama,batch_001
1069,2,diyas/batch_002/frame_001069s.jpg,frame_001069s.jpg,diyas,batch_002
1069,2,obama/batch_001/frame_001069s.jpg,frame_001069s.jpg,obama,batch_001
1070,2,diyas/batch_002/frame_001070s.jpg,frame_001070s.jpg,diyas,batch_002
1070,2,obama/batch_001/frame_001070s.jpg,frame_001070s.jpg,obama,batch_001
1071,2,diyas/batch_002/frame_001071s.jpg,frame_001071s.jpg,diyas,batch_002
1071,2,obama/batch_001/frame_001071s.jpg,frame_001071s.jpg,obama,batch_001
1072,2,diyas/batch_002/frame_001072s.jpg,frame_001072s.jpg,diyas,batch_002
1072,2,obama/batch_001/frame_001072s.jpg,frame_001072s.jpg,obama,batch_001
1073,2,diyas/batch_002/frame_001073s.jpg,frame_001073s.jpg,diyas,batch_002
1073,2,obama/batch_001/frame_001073s.jpg,frame_001073s.jpg,obama,batch_001
1074,2,diyas/batch_002/frame_001074s.jpg,frame_001074s.jpg,diyas,batch_002
1074,2,obama/batch_001/frame_001074s.jpg,frame_001074s.jpg,obama,batch_001
1075,2,diyas/batch_002/frame_001075s.jpg,frame_001075s.jpg,diyas,batch_002
1075,2,obama/batch_001/frame_001075s.jpg,frame_001075s.jpg,obama,batch_001
