image_id,xml_name,xml_basename,rank,similarity,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
0,D02_20260420073459_000970.jpg,D02_20260420073459_000970.jpg,1,0.478261,diyas/batch_001/frame_000970s.jpg,frame_000970s.jpg,diyas,batch_001
0,D02_20260420073459_000970.jpg,D02_20260420073459_000970.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
0,D02_20260420073459_000970.jpg,D02_20260420073459_000970.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
0,D02_20260420073459_000970.jpg,D02_20260420073459_000970.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
0,D02_20260420073459_000970.jpg,D02_20260420073459_000970.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
1,D02_20260420073459_000971.jpg,D02_20260420073459_000971.jpg,1,0.478261,diyas/batch_001/frame_000971s.jpg,frame_000971s.jpg,diyas,batch_001
1,D02_20260420073459_000971.jpg,D02_20260420073459_000971.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
1,D02_20260420073459_000971.jpg,D02_20260420073459_000971.jpg,3,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
1,D02_20260420073459_000971.jpg,D02_20260420073459_000971.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
1,D02_20260420073459_000971.jpg,D02_20260420073459_000971.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
2,D02_20260420073459_000972.jpg,D02_20260420073459_000972.jpg,1,0.478261,diyas/batch_001/frame_000972s.jpg,frame_000972s.jpg,diyas,batch_001
2,D02_20260420073459_000972.jpg,D02_20260420073459_000972.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
2,D02_20260420073459_000972.jpg,D02_20260420073459_000972.jpg,3,0.478261,diyas/batch_003/frame_003452s.jpg,frame_003452s.jpg,diyas,batch_003
2,D02_20260420073459_000972.jpg,D02_20260420073459_000972.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
2,D02_20260420073459_000972.jpg,D02_20260420073459_000972.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
3,D02_20260420073459_000973.jpg,D02_20260420073459_000973.jpg,1,0.478261,diyas/batch_001/frame_000973s.jpg,frame_000973s.jpg,diyas,batch_001
3,D02_20260420073459_000973.jpg,D02_20260420073459_000973.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
3,D02_20260420073459_000973.jpg,D02_20260420073459_000973.jpg,3,0.478261,diyas/batch_003/frame_003453s.jpg,frame_003453s.jpg,diyas,batch_003
3,D02_20260420073459_000973.jpg,D02_20260420073459_000973.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
3,D02_20260420073459_000973.jpg,D02_20260420073459_000973.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
4,D02_20260420073459_000974.jpg,D02_20260420073459_000974.jpg,1,0.478261,diyas/batch_001/frame_000974s.jpg,frame_000974s.jpg,diyas,batch_001
4,D02_20260420073459_000974.jpg,D02_20260420073459_000974.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
4,D02_20260420073459_000974.jpg,D02_20260420073459_000974.jpg,3,0.478261,diyas/batch_003/frame_003454s.jpg,frame_003454s.jpg,diyas,batch_003
4,D02_20260420073459_000974.jpg,D02_20260420073459_000974.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
4,D02_20260420073459_000974.jpg,D02_20260420073459_000974.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
5,D02_20260420073459_000975.jpg,D02_20260420073459_000975.jpg,1,0.478261,diyas/batch_001/frame_000975s.jpg,frame_000975s.jpg,diyas,batch_001
5,D02_20260420073459_000975.jpg,D02_20260420073459_000975.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
5,D02_20260420073459_000975.jpg,D02_20260420073459_000975.jpg,3,0.478261,diyas/batch_003/frame_003455s.jpg,frame_003455s.jpg,diyas,batch_003
5,D02_20260420073459_000975.jpg,D02_20260420073459_000975.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
5,D02_20260420073459_000975.jpg,D02_20260420073459_000975.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,1,0.478261,diyas/batch_001/frame_000976s.jpg,frame_000976s.jpg,diyas,batch_001
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,3,0.478261,diyas/batch_003/frame_003456s.jpg,frame_003456s.jpg,diyas,batch_003
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,1,0.478261,diyas/batch_001/frame_000977s.jpg,frame_000977s.jpg,diyas,batch_001
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,1,0.478261,diyas/batch_001/frame_000978s.jpg,frame_000978s.jpg,diyas,batch_001
