image_id,xml_name,xml_basename,match_strategy,source_path,source_rel_frames,source_folder,source_filename,source_stem,source_extension,source_numeric_suffix,head_count
0,D02_20260420073459_000970.jpg,D02_20260420073459_000970.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000970s.jpg,diyas/batch_001/frame_000970s.jpg,diyas,frame_000970s.jpg,frame_000970s,.jpg,970,16
1,D02_20260420073459_000971.jpg,D02_20260420073459_000971.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000971s.jpg,diyas/batch_001/frame_000971s.jpg,diyas,frame_000971s.jpg,frame_000971s,.jpg,971,15
2,D02_20260420073459_000972.jpg,D02_20260420073459_000972.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000972s.jpg,diyas/batch_001/frame_000972s.jpg,diyas,frame_000972s.jpg,frame_000972s,.jpg,972,14
3,D02_20260420073459_000973.jpg,D02_20260420073459_000973.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000973s.jpg,diyas/batch_001/frame_000973s.jpg,diyas,frame_000973s.jpg,frame_000973s,.jpg,973,14
4,D02_20260420073459_000974.jpg,D02_20260420073459_000974.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000974s.jpg,diyas/batch_001/frame_000974s.jpg,diyas,frame_000974s.jpg,frame_000974s,.jpg,974,14
5,D02_20260420073459_000975.jpg,D02_20260420073459_000975.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000975s.jpg,diyas/batch_001/frame_000975s.jpg,diyas,frame_000975s.jpg,frame_000975s,.jpg,975,13
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000976s.jpg,diyas/batch_001/frame_000976s.jpg,diyas,frame_000976s.jpg,frame_000976s,.jpg,976,12
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000977s.jpg,diyas/batch_001/frame_000977s.jpg,diyas,frame_000977s.jpg,frame_000977s,.jpg,977,12
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000978s.jpg,diyas/batch_001/frame_000978s.jpg,diyas,frame_000978s.jpg,frame_000978s,.jpg,978,13
9,D02_20260420073459_000979.jpg,D02_20260420073459_000979.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000979s.jpg,diyas/batch_001/frame_000979s.jpg,diyas,frame_000979s.jpg,frame_000979s,.jpg,979,13
10,D02_20260420073459_000980.jpg,D02_20260420073459_000980.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000980s.jpg,diyas/batch_001/frame_000980s.jpg,diyas,frame_000980s.jpg,frame_000980s,.jpg,980,13
11,D02_20260420073459_000981.jpg,D02_20260420073459_000981.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000981s.jpg,diyas/batch_001/frame_000981s.jpg,diyas,frame_000981s.jpg,frame_000981s,.jpg,981,13
12,D02_20260420073459_000982.jpg,D02_20260420073459_000982.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000982s.jpg,diyas/batch_001/frame_000982s.jpg,diyas,frame_000982s.jpg,frame_000982s,.jpg,982,13
13,D02_20260420073459_000983.jpg,D02_20260420073459_000983.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000983s.jpg,diyas/batch_001/frame_000983s.jpg,diyas,frame_000983s.jpg,frame_000983s,.jpg,983,13
14,D02_20260420073459_000984.jpg,D02_20260420073459_000984.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000984s.jpg,diyas/batch_001/frame_000984s.jpg,diyas,frame_000984s.jpg,frame_000984s,.jpg,984,14
15,D02_20260420073459_000985.jpg,D02_20260420073459_000985.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000985s.jpg,diyas/batch_001/frame_000985s.jpg,diyas,frame_000985s.jpg,frame_000985s,.jpg,985,14
16,D02_20260420073459_000986.jpg,D02_20260420073459_000986.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000986s.jpg,diyas/batch_001/frame_000986s.jpg,diyas,frame_000986s.jpg,frame_000986s,.jpg,986,15
17,D02_20260420073459_000987.jpg,D02_20260420073459_000987.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000987s.jpg,diyas/batch_001/frame_000987s.jpg,diyas,frame_000987s.jpg,frame_000987s,.jpg,987,14
18,D02_20260420073459_000988.jpg,D02_20260420073459_000988.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000988s.jpg,diyas/batch_001/frame_000988s.jpg,diyas,frame_000988s.jpg,frame_000988s,.jpg,988,12
19,D02_20260420073459_000989.jpg,D02_20260420073459_000989.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000989s.jpg,diyas/batch_001/frame_000989s.jpg,diyas,frame_000989s.jpg,frame_000989s,.jpg,989,13
20,D02_20260420073459_000990.jpg,D02_20260420073459_000990.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000990s.jpg,diyas/batch_001/frame_000990s.jpg,diyas,frame_000990s.jpg,frame_000990s,.jpg,990,13
21,D02_20260420073459_000991.jpg,D02_20260420073459_000991.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000991s.jpg,diyas/batch_001/frame_000991s.jpg,diyas,frame_000991s.jpg,frame_000991s,.jpg,991,14
22,D02_20260420073459_000992.jpg,D02_20260420073459_000992.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000992s.jpg,diyas/batch_001/frame_000992s.jpg,diyas,frame_000992s.jpg,frame_000992s,.jpg,992,14
23,D02_20260420073459_000993.jpg,D02_20260420073459_000993.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000993s.jpg,diyas/batch_001/frame_000993s.jpg,diyas,frame_000993s.jpg,frame_000993s,.jpg,993,13
24,D02_20260420073459_000994.jpg,D02_20260420073459_000994.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000994s.jpg,diyas/batch_001/frame_000994s.jpg,diyas,frame_000994s.jpg,frame_000994s,.jpg,994,12
25,D02_20260420073459_000995.jpg,D02_20260420073459_000995.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000995s.jpg,diyas/batch_001/frame_000995s.jpg,diyas,frame_000995s.jpg,frame_000995s,.jpg,995,12
26,D02_20260420073459_000996.jpg,D02_20260420073459_000996.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000996s.jpg,diyas/batch_001/frame_000996s.jpg,diyas,frame_000996s.jpg,frame_000996s,.jpg,996,12
27,D02_20260420073459_000997.jpg,D02_20260420073459_000997.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000997s.jpg,diyas/batch_001/frame_000997s.jpg,diyas,frame_000997s.jpg,frame_000997s,.jpg,997,12
28,D02_20260420073459_000998.jpg,D02_20260420073459_000998.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000998s.jpg,diyas/batch_001/frame_000998s.jpg,diyas,frame_000998s.jpg,frame_000998s,.jpg,998,13
29,D02_20260420073459_000999.jpg,D02_20260420073459_000999.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_000999s.jpg,diyas/batch_001/frame_000999s.jpg,diyas,frame_000999s.jpg,frame_000999s,.jpg,999,12
30,D02_20260420073459_001000.jpg,D02_20260420073459_001000.jpg,source_numeric,frames_with_people\diyas\batch_001\frame_001000s.jpg,diyas/batch_001/frame_001000s.jpg,diyas,frame_001000s.jpg,frame_001000s,.jpg,1000,12
31,D02_20260420073459_001001.jpg,D02_20260420073459_001001.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001001s.jpg,diyas/batch_002/frame_001001s.jpg,diyas,frame_001001s.jpg,frame_001001s,.jpg,1001,12
32,D02_20260420073459_001002.jpg,D02_20260420073459_001002.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001002s.jpg,diyas/batch_002/frame_001002s.jpg,diyas,frame_001002s.jpg,frame_001002s,.jpg,1002,10
33,D02_20260420073459_001003.jpg,D02_20260420073459_001003.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001003s.jpg,diyas/batch_002/frame_001003s.jpg,diyas,frame_001003s.jpg,frame_001003s,.jpg,1003,10
34,D02_20260420073459_001004.jpg,D02_20260420073459_001004.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001004s.jpg,diyas/batch_002/frame_001004s.jpg,diyas,frame_001004s.jpg,frame_001004s,.jpg,1004,10
35,D02_20260420073459_001005.jpg,D02_20260420073459_001005.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001005s.jpg,diyas/batch_002/frame_001005s.jpg,diyas,frame_001005s.jpg,frame_001005s,.jpg,1005,9
36,D02_20260420073459_001006.jpg,D02_20260420073459_001006.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001006s.jpg,diyas/batch_002/frame_001006s.jpg,diyas,frame_001006s.jpg,frame_001006s,.jpg,1006,9
42,D02_20260420073459_001012.jpg,D02_20260420073459_001012.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001012s.jpg,diyas/batch_002/frame_001012s.jpg,diyas,frame_001012s.jpg,frame_001012s,.jpg,1012,11
43,D02_20260420073459_001013.jpg,D02_20260420073459_001013.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001013s.jpg,diyas/batch_002/frame_001013s.jpg,diyas,frame_001013s.jpg,frame_001013s,.jpg,1013,13
44,D02_20260420073459_001014.jpg,D02_20260420073459_001014.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001014s.jpg,diyas/batch_002/frame_001014s.jpg,diyas,frame_001014s.jpg,frame_001014s,.jpg,1014,14
45,D02_20260420073459_001015.jpg,D02_20260420073459_001015.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001015s.jpg,diyas/batch_002/frame_001015s.jpg,diyas,frame_001015s.jpg,frame_001015s,.jpg,1015,14
46,D02_20260420073459_001016.jpg,D02_20260420073459_001016.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001016s.jpg,diyas/batch_002/frame_001016s.jpg,diyas,frame_001016s.jpg,frame_001016s,.jpg,1016,17
47,D02_20260420073459_001017.jpg,D02_20260420073459_001017.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001017s.jpg,diyas/batch_002/frame_001017s.jpg,diyas,frame_001017s.jpg,frame_001017s,.jpg,1017,17
48,D02_20260420073459_001018.jpg,D02_20260420073459_001018.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001018s.jpg,diyas/batch_002/frame_001018s.jpg,diyas,frame_001018s.jpg,frame_001018s,.jpg,1018,18
49,D02_20260420073459_001019.jpg,D02_20260420073459_001019.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001019s.jpg,diyas/batch_002/frame_001019s.jpg,diyas,frame_001019s.jpg,frame_001019s,.jpg,1019,16
50,D02_20260420073459_001020.jpg,D02_20260420073459_001020.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001020s.jpg,diyas/batch_002/frame_001020s.jpg,diyas,frame_001020s.jpg,frame_001020s,.jpg,1020,18
51,D02_20260420073459_001021.jpg,D02_20260420073459_001021.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001021s.jpg,diyas/batch_002/frame_001021s.jpg,diyas,frame_001021s.jpg,frame_001021s,.jpg,1021,18
52,D02_20260420073459_001022.jpg,D02_20260420073459_001022.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001022s.jpg,diyas/batch_002/frame_001022s.jpg,diyas,frame_001022s.jpg,frame_001022s,.jpg,1022,19
53,D02_20260420073459_001023.jpg,D02_20260420073459_001023.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001023s.jpg,diyas/batch_002/frame_001023s.jpg,diyas,frame_001023s.jpg,frame_001023s,.jpg,1023,19
54,D02_20260420073459_001024.jpg,D02_20260420073459_001024.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001024s.jpg,diyas/batch_002/frame_001024s.jpg,diyas,frame_001024s.jpg,frame_001024s,.jpg,1024,21
55,D02_20260420073459_001025.jpg,D02_20260420073459_001025.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001025s.jpg,diyas/batch_002/frame_001025s.jpg,diyas,frame_001025s.jpg,frame_001025s,.jpg,1025,21
56,D02_20260420073459_001026.jpg,D02_20260420073459_001026.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001026s.jpg,diyas/batch_002/frame_001026s.jpg,diyas,frame_001026s.jpg,frame_001026s,.jpg,1026,21
57,D02_20260420073459_001027.jpg,D02_20260420073459_001027.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001027s.jpg,diyas/batch_002/frame_001027s.jpg,diyas,frame_001027s.jpg,frame_001027s,.jpg,1027,22
58,D02_20260420073459_001028.jpg,D02_20260420073459_001028.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001028s.jpg,diyas/batch_002/frame_001028s.jpg,diyas,frame_001028s.jpg,frame_001028s,.jpg,1028,21
59,D02_20260420073459_001029.jpg,D02_20260420073459_001029.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001029s.jpg,diyas/batch_002/frame_001029s.jpg,diyas,frame_001029s.jpg,frame_001029s,.jpg,1029,23
60,D02_20260420073459_001030.jpg,D02_20260420073459_001030.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001030s.jpg,diyas/batch_002/frame_001030s.jpg,diyas,frame_001030s.jpg,frame_001030s,.jpg,1030,23
61,D02_20260420073459_001031.jpg,D02_20260420073459_001031.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001031s.jpg,diyas/batch_002/frame_001031s.jpg,diyas,frame_001031s.jpg,frame_001031s,.jpg,1031,22
62,D02_20260420073459_001032.jpg,D02_20260420073459_001032.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001032s.jpg,diyas/batch_002/frame_001032s.jpg,diyas,frame_001032s.jpg,frame_001032s,.jpg,1032,26
63,D02_20260420073459_001033.jpg,D02_20260420073459_001033.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001033s.jpg,diyas/batch_002/frame_001033s.jpg,diyas,frame_001033s.jpg,frame_001033s,.jpg,1033,28
64,D02_20260420073459_001034.jpg,D02_20260420073459_001034.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001034s.jpg,diyas/batch_002/frame_001034s.jpg,diyas,frame_001034s.jpg,frame_001034s,.jpg,1034,29
65,D02_20260420073459_001035.jpg,D02_20260420073459_001035.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001035s.jpg,diyas/batch_002/frame_001035s.jpg,diyas,frame_001035s.jpg,frame_001035s,.jpg,1035,29
66,D02_20260420073459_001036.jpg,D02_20260420073459_001036.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001036s.jpg,diyas/batch_002/frame_001036s.jpg,diyas,frame_001036s.jpg,frame_001036s,.jpg,1036,27
67,D02_20260420073459_001037.jpg,D02_20260420073459_001037.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001037s.jpg,diyas/batch_002/frame_001037s.jpg,diyas,frame_001037s.jpg,frame_001037s,.jpg,1037,27
68,D02_20260420073459_001038.jpg,D02_20260420073459_001038.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001038s.jpg,diyas/batch_002/frame_001038s.jpg,diyas,frame_001038s.jpg,frame_001038s,.jpg,1038,29
69,D02_20260420073459_001039.jpg,D02_20260420073459_001039.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001039s.jpg,diyas/batch_002/frame_001039s.jpg,diyas,frame_001039s.jpg,frame_001039s,.jpg,1039,25
70,D02_20260420073459_001040.jpg,D02_20260420073459_001040.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001040s.jpg,diyas/batch_002/frame_001040s.jpg,diyas,frame_001040s.jpg,frame_001040s,.jpg,1040,26
71,D02_20260420073459_001041.jpg,D02_20260420073459_001041.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001041s.jpg,diyas/batch_002/frame_001041s.jpg,diyas,frame_001041s.jpg,frame_001041s,.jpg,1041,25
72,D02_20260420073459_001042.jpg,D02_20260420073459_001042.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001042s.jpg,diyas/batch_002/frame_001042s.jpg,diyas,frame_001042s.jpg,frame_001042s,.jpg,1042,24
73,D02_20260420073459_001043.jpg,D02_20260420073459_001043.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001043s.jpg,diyas/batch_002/frame_001043s.jpg,diyas,frame_001043s.jpg,frame_001043s,.jpg,1043,25
74,D02_20260420073459_001044.jpg,D02_20260420073459_001044.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001044s.jpg,diyas/batch_002/frame_001044s.jpg,diyas,frame_001044s.jpg,frame_001044s,.jpg,1044,26
75,D02_20260420073459_001045.jpg,D02_20260420073459_001045.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001045s.jpg,diyas/batch_002/frame_001045s.jpg,diyas,frame_001045s.jpg,frame_001045s,.jpg,1045,24
76,D02_20260420073459_001046.jpg,D02_20260420073459_001046.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001046s.jpg,diyas/batch_002/frame_001046s.jpg,diyas,frame_001046s.jpg,frame_001046s,.jpg,1046,24
77,D02_20260420073459_001047.jpg,D02_20260420073459_001047.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001047s.jpg,diyas/batch_002/frame_001047s.jpg,diyas,frame_001047s.jpg,frame_001047s,.jpg,1047,24
78,D02_20260420073459_001048.jpg,D02_20260420073459_001048.jpg,source_numeric,frames_with_people\diyas\batch_002\frame_001048s.jpg,diyas/batch_002/frame_001048s.jpg,diyas,frame_001048s.jpg,frame_001048s,.jpg,1048,25
