respondent_id,choice,scenario,wait_time,packed,is_peak
R001,1,1,2,1,1
R001,1,2,5,1,1
R001,0,3,10,1,0
R001,1,4,5,0,1
R001,1,5,3,0,0
R001,1,6,7,1,1
R002,1,1,2,1,1
R002,1,2,5,1,1
R002,0,3,10,1,0
R002,0,4,5,0,1
R002,1,5,3,0,0
R002,1,6,7,1,1
R003,1,1,2,1,1
R003,1,2,5,1,1
R003,1,3,10,1,0
R003,0,4,5,0,1
R003,0,5,3,0,0
R003,1,6,7,1,1
R004,1,1,2,1,1
R004,1,2,5,1,1
R004,0,3,10,1,0
R004,0,4,5,0,1
R004,0,5,3,0,0
R004,1,6,7,1,1
R005,1,1,2,1,1
R005,1,2,5,1,1
R005,0,3,10,1,0
R005,1,4,5,0,1
R005,0,5,3,0,0
R005,1,6,7,1,1
R006,1,1,2,1,1
R006,1,2,5,1,1
R006,0,3,10,1,0
R006,0,4,5,0,1
R006,0,5,3,0,0
R006,0,6,7,1,1
R007,1,1,2,1,1
R007,1,2,5,1,1
R007,1,3,10,1,0
R007,0,4,5,0,1
R007,1,5,3,0,0
R007,1,6,7,1,1
R008,1,1,2,1,1
R008,1,2,5,1,1
R008,1,3,10,1,0
R008,1,4,5,0,1
R008,1,5,3,0,0
R008,1,6,7,1,1
R009,1,1,2,1,1
R009,0,2,5,1,1
R009,0,3,10,1,0
R009,1,4,5,0,1
R009,0,5,3,0,0
R009,0,6,7,1,1
R010,1,1,2,1,1
R010,1,2,5,1,1
R010,1,3,10,1,0
R010,0,4,5,0,1
R010,1,5,3,0,0
R010,1,6,7,1,1
R011,1,1,2,1,1
R011,1,2,5,1,1
R011,0,3,10,1,0
R011,0,4,5,0,1
R011,0,5,3,0,0
R011,0,6,7,1,1
R012,0,1,2,1,1
R012,1,2,5,1,1
R012,1,3,10,1,0
R012,0,4,5,0,1
R012,1,5,3,0,0
R012,1,6,7,1,1
R013,0,1,2,1,1
R013,1,2,5,1,1
R013,1,3,10,1,0
R013,1,4,5,0,1
R013,1,5,3,0,0
R013,1,6,7,1,1
R014,1,1,2,1,1
R014,1,2,5,1,1
R014,0,3,10,1,0
R014,0,4,5,0,1
R014,0,5,3,0,0
R014,0,6,7,1,1
R015,1,1,2,1,1
R015,1,2,5,1,1
R015,1,3,10,1,0
R015,0,4,5,0,1
R015,0,5,3,0,0
R015,1,6,7,1,1
