paper_id,title,authors,year,doi,venue,collection,study_location,transport_mode,research_design,stated_or_revealed,information_channel,behavioural_outcome,sample_size,key_finding,verification_status,full_text_available,relevance,novelty_threat,notes
drabicki2023,"Should I stay or should I board? Willingness to wait with real-time crowding information in urban public transport","Drabicki et al.",2023,10.1016/j.rtbm.2023.100963,Research in Transportation Business & Management,Core Verified,TBD,bus,TBD,TBD,RTCI,willingness to wait,TBD,TBD,Metadata only,No,High - central to candidate gap,No,No abstract retrieved via ResearchRabbit; needs full-text pull.
drabicki_bunching2022,"Mitigating bus bunching with real-time crowding information","Drabicki, Kucharski, Cats",2022,10.1007/s11116-022-10270-3,Transportation,"Core Verified; Operations, Load Balancing and Bus Bunching",Warsaw (Poland),bus,simulation + stated-preference boarding choice model,stated,RTCI,boarding choice / bunching reduction,TBD,"RTCI induces 30-70% probability of skipping overcrowded bus; journey experience improves ~6%; denial-of-boarding reduced ~40%",Verified abstract,No,High,No,Case-study simulation on Warsaw bus corridor; stated-preference survey underlying the model.
bansal2022,"A dynamic choice model to estimate the user cost of crowding with large-scale transit data","Bansal, Hörcher, Graham",2022,10.1111/rssa.12804,Journal of the Royal Statistical Society Series A,"Core Verified; Crowding Valuation and Perception",Asian metro city (unspecified in abstract),metro,dynamic choice model on revealed-preference smart-card + AVL data,revealed,none (crowding valuation, not RTCI display),crowding valuation / travel time,"4 million daily trips, 2 months",Crowding valuation increases 47% under extreme crowding; compensatory rule followed only 25.5% of trips,Verified abstract,No,High - mentor's own paper,No,Prateek Bansal is project mentor; methodologically relevant to choice modeling approach.
jenelius2020,"Personalized predictive public transport crowding information with automated data sources","Jenelius",2020,10.1016/j.trc.2020.102647,Transportation Research Part C,"Core Verified; Prediction, Sensing and Information Quality",TBD,TBD,TBD,TBD,predictive RTCI,information quality,TBD,No abstract retrieved,Metadata only,No,Medium-High,No,
noursalehi2021,"Predictive decision support platform and its application in crowding prediction and passenger information generation","Noursalehi, Koutsopoulos, Zhao",2021,10.1016/j.trc.2021.103139,Transportation Research Part C,"Core Verified; Prediction, Sensing and Information Quality",TBD,TBD,TBD,TBD,predictive RTCI,information generation,TBD,No abstract retrieved,Metadata only,No,Medium-High,No,
bouman2016,"Capacity, information and minority games in public transport","Bouman et al.",2016,10.1016/j.trc.2016.05.007,Transportation Research Part C,"Core Verified; Boarding and Willingness to Wait",TBD,TBD,TBD,TBD,capacity information,boarding distribution,TBD,No abstract retrieved,Metadata only,No,Medium,No,Game-theoretic framing of boarding decisions under capacity information.
peftitsi2022,"Modeling the effect of real-time crowding information (RTCI) on passenger distribution in trains","Peftitsi, Jenelius, Cats",2022,10.1016/j.tra.2022.10.011,Transportation Research Part A,"Core Verified; Prediction, Sensing and Information Quality",TBD,train,dynamic PT simulation model,TBD,RTCI,passenger distribution across train cars,TBD,No abstract retrieved,Metadata only,No,High,No,Directly extends dynamic simulation with predictive RTCI concerning car-level distribution.
chen2023,"I can board, but I'd rather wait: Active boarding delay choice behaviour analysis using smart card data in metro systems","Chen et al.",2023,10.1016/j.tra.2023.103747,Transportation Research Part A,"Core Verified; Boarding and Willingness to Wait",metro system (unspecified),metro,revealed-preference logit model on smart-card + timetable data,revealed,none (crowding/seat availability inferred, not RTCI display),active boarding delay,TBD,"Passengers actively skip boarding despite standing room to wait for seat availability on next train",No abstract fully retrieved (partial in-app),Metadata only,No,High - closest revealed-preference precedent,Potentially challenges novelty - revealed-preference boarding-delay evidence exists for metro; gap remains for bus + app-displayed RTCI causally,Full-text review essential to compare against our candidate gap statement.
drabicki2025covid,"Has the COVID-19 pandemic affected travellers' willingness to wait with real-time crowding information?","Drabicki, Kucharski (+1)",2025,10.1016/j.tbs.2024.100895,Travel Behaviour and Society,"Core Verified; Boarding and Willingness to Wait",TBD,TBD,TBD,TBD,RTCI,willingness to wait (COVID context),TBD,No abstract retrieved,Metadata only,No,Medium,No,COVID framing; crowding information is part of the mechanism so included per inclusion criteria.
kim2009,"Passenger Choice Models for Analysis of Impacts of Real-Time Bus Information on Crowdedness","Kim, Lee, Oh (Joon-Ki Kim, Sungho Oh)",2009,10.3141/2112-15,Transportation Research Record,"Core Verified; Boarding and Willingness to Wait",Seoul (South Korea),bus,binary logit + interview survey data,stated/revealed mix (survey-based),bus occupancy information,bus choice (board arriving bus vs wait for next),1-week interview survey (Jun 19-25 2008),"Seat availability increases probability of boarding arriving bus; travel time on board and crowdedness decrease it; effects vary by user group and trip stage",Verified abstract,No,High - bus-specific precedent,No,Closest bus-specific precedent found so far; South Korea, not Central Asia - geographic gap for our project remains open.
